plant_name,plant_code,region,state,fuel_types,primary_technology
Erving Paper Mills,54228,New England,MA,NG,Multiple
Exelon Framingham LLC,1586,New England,MA,DFO,Petroleum Liquids
Exelon Medway LLC,1592,New England,MA,DFO,Petroleum Liquids
Exelon West Medway II LLC,59882,New England,MA,NG,Natural Gas Fired Combustion Turbine
Fairhaven C CSG,60423,New England,MA,SUN,Solar Photovoltaic
Fairhaven E,65279,New England,MA,SUN,Solar Photovoltaic
Fairhaven MA 2,64705,New England,MA,SUN,Solar Photovoltaic
Fairhaven Wind,59725,New England,MA,WND,Onshore Wind Turbine
Fairview Farms Solar,58974,New England,MA,SUN,Solar Photovoltaic
Fall River Solar CSG,60738,New England,MA,SUN,Solar Photovoltaic
Falmouth Landfill Solar,61562,New England,MA,SUN,Solar Photovoltaic
Farley Road Community Solar,61294,New England,MA,SUN,Solar Photovoltaic
Faunce Corner Community Solar,65669,New England,MA,"MWH, SUN",Multiple
"Federal Road Solar 1, LLC CSG",60065,New England,MA,SUN,Solar Photovoltaic
Fife Brook,8004,New England,MA,WAT,Conventional Hydroelectric
Fisher Road Solar,60075,New England,MA,SUN,Solar Photovoltaic
Fitchburg Gas Recovery,56527,New England,MA,LFG,Landfill Gas
Fitchburg Renewables,64045,New England,MA,SUN,Solar Photovoltaic
Fore River Generating Station,55317,New England,MA,NG,Natural Gas Fired Combined Cycle
Framingham State University Plant,59717,New England,MA,"DFO, SUN",Multiple
Franklin 1,59178,New England,MA,SUN,Solar Photovoltaic
Franklin 2,59179,New England,MA,SUN,Solar Photovoltaic
Freetown Solar,58283,New England,MA,SUN,Solar Photovoltaic
Front Street,7396,New England,MA,DFO,Petroleum Liquids
Future Generation Wind,59622,New England,MA,WND,Onshore Wind Turbine
GELD Solar Farm,61539,New England,MA,SUN,Solar Photovoltaic
GRS Fall River,55589,New England,MA,LFG,Landfill Gas
"GSPP  Raynham TMLP, LLC CSG",62826,New England,MA,SUN,Solar Photovoltaic
GSPP Boxborough Littleton (MA),62890,New England,MA,SUN,Solar Photovoltaic
"GSPP Devens, LLC",62824,New England,MA,SUN,Solar Photovoltaic
GSPP Terrawatt Westfield LLC CSG,62825,New England,MA,SUN,Solar Photovoltaic
Gardner - Otter River Road,62870,New England,MA,SUN,Solar Photovoltaic
Gardner Solar 1,58937,New England,MA,SUN,Solar Photovoltaic
Gardners Falls,1634,New England,MA,WAT,Conventional Hydroelectric
General Electric Aircraft Engines,10029,New England,MA,SUN,Solar Photovoltaic
